Company,TypeName,Inches,touchscreen,ipspanel,retinadisplay,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,Memory,hdd,ssd,flashstorage,hybrid,gpu_brand,gpu_name,OpSys,Weight_kg,Price,Price_VND
16,4,13.3,0,0,0,1920,1080,1, hd graphics 520,2.5,8,256GB SSD,0,256,0,0,2, hd graphics 520,3,1.2,72621,21132711
1,4,13.3,0,1,1,2560,1600,1, iris plus graphics 640,2.3,8,128GB SSD,0,128,0,0,2, iris plus graphics 640,1,1.37,71379,20771289
7,3,17.3,0,0,0,1920,1080,1, geforce 930mx,1.6,8,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce 930mx,3,2.5,52055,15148005
4,3,15.6,0,0,0,1920,1080,1, hd graphics 620,2.5,4,1TB HDD,1024,0,0,0,2, hd graphics 620,3,2.18,35005,10186455
7,3,15.6,0,0,0,1920,1080,0, radeon r4 graphics,2.5,4,256GB SSD,0,256,0,0,0, radeon r4 graphics,3,1.86,21232,6178512
4,0,13.3,1,0,0,1920,1080,1, uhd graphics 620,1.8,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.62,46301,13473591
7,3,13.3,0,0,0,1920,1080,1, uhd graphics 620,1.8,8,512GB SSD,0,512,0,0,2, uhd graphics 620,3,1.49,58768,17101488
7,3,15.6,0,0,0,1920,1080,1, uhd graphics 620,1.6,8,1TB HDD,1024,0,0,0,2, uhd graphics 620,3,2.1,42304,12310464
0,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.4,4,1TB HDD,1024,0,0,0,2, hd graphics 620,3,2.4,20460,5953860
4,1,15.6,0,1,0,1920,1080,1, geforce gtx 1060,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1060,3,2.65,79867,23241297
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2.5,8,1TB HDD,1024,0,0,0,0, radeon r5 m430,3,2.24,30103,8759973
4,3,15.6,0,0,0,1920,1080,1, radeon 520,1.8,8,256GB SSD,0,256,0,0,0, radeon 520,3,2.13,40908,11904228
16,3,15.6,0,0,0,1366,768,1, hd graphics 520,2.3,4,500GB HDD,500,0,0,0,2, hd graphics 520,3,2.1,32075,9333825
7,3,15.6,0,0,0,1920,1080,1, hd graphics 520,2,4,128GB SSD,0,128,0,0,2, hd graphics 520,3,1.91,23390,6806490
7,3,15.6,0,0,0,1920,1080,0, radeon r5,3,4,256GB SSD,0,256,0,0,0, radeon r5,3,1.91,26053,7581423
2,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.5,4,256GB SSD,0,256,0,0,2, hd graphics 620,3,2,31232,9088512
4,1,17.3,0,1,0,1920,1080,1, geforce gtx 1060,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1060,3,4.42,130874,38084334
11,1,17.3,0,0,0,1920,1080,1, geforce gtx 1070,2.8,16,256GB SSD +  2TB HDD,2048,256,0,0,3, geforce gtx 1070,3,2.43,130483,37970553
4,0,15.6,1,0,0,1920,1080,1, uhd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,2.67,42571,12388161
